단어,빈도수
흔들었다.,1
돌아오지,1
누그,1
오그려,1
걷어올,1
다행이었다.,1
내밀며,,1
엿보기도,1
끼얹혀졌,1
그만,1
이제는,1
억새풀,1
가야,1
쳐다,1
망태기를,1
옴큼을,1
상관없다고,1
탄,1
껑충거리며,1
소풍,1
가슴,1
1,1
주무르는,1
훑어보고는,1
“도라지꽃이,1
먼,1
패었다.,1
르는,1
먹어야,1
일을,1
‘바보,,1
우쭐거린다.,1
새는,1
증손녀(曾孫女)딸이라는,1
옮은,1
때,,1
3,1
좋다.”,1
들을,1
굵다!”,1
마장쯤,,1
겨냥해,1
유난히,1
수수밭,1
초시네,1
기슭에,1
점,1
은,1
그렇게,1
‘어머나’소리를,1
덧세운다.,1
달라고…….”,1
몸을,1
여기서,1
산마루께로,1
저만큼,1
일어나,1
밑을,1
보,1
개울가에서,1
떨어지는,1
없다.,1
아찔했다.,1
조약돌,1
도와야,1
이고,1
번번이,1
않던,1
내면서,,1
부딪친다.,1
양,,1
머리,1
훌쩍,1
나풀거리며,1
들어서게,1
일어섰다.,1
난다.”,1
수밖에.,1
둑,1
참외,,1
순간,,1
건넌다.,1
얼굴을,1
나앉은,1
“이,1
없지만…….”,1
건너가더니만,1
깜짝,1
개울을,1
칡덩굴이,1
갔었다.”,1
말이,,1
비는,1
생각뿐이었다.,1
듯,1
저쯤,1
빛나는,1
햇살,1
“얘,,1
얼른,1
지내려고…….”,1
앞쪽에,1
사뭇,1
갈꽃머리에서,1
바르면,1
개울물을,1
시작했,1
너머에,1
하더니,,1
싶게,1
칡덩굴을,1
움직였다.,1
옴큼,1
모양이다.,1
따,1
말에,,1
쇠잔등을,1
입혀서,1
검게,1
들국화,,1
빤히,1
도랑이,1
할걸.’,1
소녀는,,1
앞에,1
밑에,1
“그래,1
멈추며,,1
일그러진,1
이제,1
금새,1
않는,1
“저건,1
돌아서며,,1
코피를,1
그러,1
사람이,1
논,1
희었다.,1
어디선가,1
반짝거렸다.,1
기다리자는,1
걸음을,1
비키기를,1
날쌔게,1
“벌써,1
견디겠다.”,1
모여,1
물장난이었다.,1
전,1
없어,1
주춤한다.,1
2,1
사이로,1
코피였다.,1
근동에서,1
모,1
검은,1
어나고,1
말았다.,1
“여기,1
새끼줄을,1
건너오고,1
“아,,1
있어,1
그러다,,1
코를,1
놈으로,1
아는지,1
속의,1
있을,1
매일같이,1
맛은,1
빛이,1
따끔따끔,1
‘숨어서,1
“하도,1
바람에,,1
줬으면,1
끝을,1
해서,1
꽃묶음이,1
싫었다.,1
닭의,1
무우밭으로,1
개어,1
막,1
예서,1
댄다.,1
봐야,1
갈밭도,1
떨구었다.,1
돈다.,1
밀꽃,1
참,,1
액체가,1
입술에,1
맵고,1
잊어버리기라도,1
재밌었어…….,1
얼굴이,,1
바보’,1
독수리가,1
잃어버리고…….”,1
멀지,1
어른들이,1
엿보고,1
있었구나.’,1
잡고,1
맛,1
내지,1
불룩한,1
올리며,,1
가에,1
디딤돌을,1
헛디뎠다.,1
4,1
데가,1
가릴,1
송이를,1
않게,1
쳤다.,1
마주쳤다.,1
미끄러지고,1
좋겠다.,1
비켜,1
가슴이,1
것이리라.,1
참새가,1
어제처럼,1
지내고,1
보조개가,1
서러울,1
물이다.”,1
같이,1
황순원,1
내다보던,1
몰랐네.,1
나더니,,1
제가,1
모르는지,1
못하기나,1
갈래갈래,1
이번은,1
허탕이다.,1
지지,1
요행,1
그날도,1
고기,1
스웨터가,,1
가지를,1
살아오던,1
날이,1
잠그고,1
람이,1
마을은,1
내리지,1
얼마나,1
따라,1
계속될수록,1
앉아서,1
비추어,1
가리켰다.,1
옴이,1
건너간다.,1
날부터,1
왼쪽,1
제삿상에라도,1
소년도,1
짜릿하게,1
봬도,1
돌고,1
찌른다고,1
팽개친,1
서울서는,1
듯.,1
괜찮다고,1
잘,1
리,1
청량한,1
수박,1
아래편으로,1
날아왔다.,1
‘참,,1
건널,1
뒤에는,1
먹겠다.”,1
새끼라도,1
빛마저,1
소매를,1
했다지,1
건넜다.,1
걷어올린,1
밭이었다.,1
전에,,1
